id,name,internal,catchment_id,created,last_modified,version
1,Aber,FALSE,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
2,Adur,FALSE,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
3,Aeron,FALSE,3,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
4,Afan,FALSE,4,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
5,Aled,FALSE,25,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
6,Allen (SW),FALSE,20,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
7,Allen (Tyne),FALSE,130,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
8,Aln,FALSE,5,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
9,Alwen,FALSE,31,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
10,Alyn / Alun,FALSE,31,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
11,Amman,FALSE,76,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
12,Annas,FALSE,6,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
13,Arth,FALSE,7,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
14,Artro,FALSE,8,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
15,Arun,FALSE,9,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
16,Avon (Devon),FALSE,10,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
17,Avon (Hants),FALSE,11,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
18,Avon (Water Hants),FALSE,12,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
19,Axe,FALSE,13,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
20,Banwy,FALSE,108,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
21,Barle,FALSE,51,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
22,Beaulieu,FALSE,14,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
23,Bela,FALSE,15,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
24,Black Beck,FALSE,16,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
25,Blyth (NE),FALSE,17,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
26,Bollin,FALSE,84,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
27,Borrow Beck,FALSE,78,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
28,Bovey,FALSE,122,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
29,Brathay,FALSE,70,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
30,Bray,FALSE,118,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
31,Brit,FALSE,18,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
32,Brock,FALSE,148,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
33,Browney,FALSE,144,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
34,Bure,FALSE,150,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
35,Calder (Cumbria),FALSE,19,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
36,Calder (Lancashire),FALSE,102,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
37,Calder (Yorkshire),FALSE,94,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
38,Caldew,FALSE,42,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
39,Camel,FALSE,20,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
40,Caseg,FALSE,90,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
41,Cefni,FALSE,21,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
42,Cegin Menai Strait,FALSE,22,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
43,Ceiriog,FALSE,31,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
44,Ceirw,FALSE,31,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
45,Cennen,FALSE,131,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
46,Ceri,FALSE,121,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
47,Char,FALSE,23,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
48,Cleddau (Eastern),FALSE,24,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
49,Cleddau (Western),FALSE,24,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
50,Cleifon,FALSE,39,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
51,Clettwr,FALSE,39,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
52,Clwyd,FALSE,25,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
53,Clywedog,FALSE,31,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
54,Cocker,FALSE,32,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
55,Colwyn,FALSE,56,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
56,Coly,FALSE,13,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
57,Conder,FALSE,78,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
58,Conwy,FALSE,26,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
59,Coquet,FALSE,27,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
60,Coron Lake Anglesea,FALSE,28,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
61,Cothi,FALSE,131,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
62,Cover,FALSE,94,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
63,Crake,FALSE,29,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
64,Cresswell,FALSE,24,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
65,Cych,FALSE,121,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
66,Cynin,FALSE,114,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
67,Cywyn / Cowin,FALSE,114,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
68,Darent,FALSE,124,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
69,Dart,FALSE,30,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
70,Dee,FALSE,31,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
71,Derwent (Cumbria),FALSE,32,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
72,Derwent (Tyne),FALSE,130,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
73,Derwent (Yorkshire),FALSE,94,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
